idle_time,usr_time,interrupt_time
2731100.15625,266537.609375,7550.875
2731111.5,266538.0625,7550.890625
2731122.5625,266538.46875,7550.90625
2731134.171875,266538.703125,7550.9375
2731145.890625,266538.765625,7550.96875
2731157.609375,266539.015625,7550.96875
2731169.28125,266539.140625,7551.015625
